pair_hxy_threshold,threshold_h,threshold_alpha,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.35,0.05,0.1,8,0.01,-0.002981875126374765,0.12192219461973854,0.108301,-0.3882,-0.4371,3.14,-0.2448,0.4339,2.381380667633154,5.488494549315659,76
0.35,0.05,0.1,8,0.02,-0.002981875126374765,0.12192219461973854,0.108301,-0.3882,-0.4371,3.14,-0.2448,0.4339,2.381380667633154,5.488494549315659,77
0.35,0.05,0.1,8,0.03,-0.002245940734326735,0.0673459803099054,0.067287,-0.5294,-0.5299,2.43,-0.2351,0.0486,0.11950180041531716,2.4597720455837746,78
0.35,0.05,0.1,8,0.04,-0.002245940734326735,0.0673459803099054,0.067287,-0.5294,-0.5299,2.43,-0.2351,0.0486,0.11950180041531716,2.4597720455837746,79
0.35,0.05,0.1,8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
0.35,0.05,0.1,8,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
0.35,0.05,0.1,8,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
0.35,0.05,0.1,8,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
0.35,0.05,0.1,8,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
0.35,0.05,0.1,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
0.35,0.05,0.1,8,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86
0.35,0.05,0.1,8,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
0.35,0.05,0.1,8,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
0.35,0.05,0.1,8,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
0.35,0.05,0.1,8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90
0.35,0.05,0.1,9,0.01,-0.00073593439204803,0.10165062411309735,0.084863,-0.1149,-0.1377,2.72,-0.0729,0.7468,2.261878867217837,3.0287225037318843,91
0.35,0.05,0.1,9,0.02,-0.00073593439204803,0.10165062411309735,0.084863,-0.1149,-0.1377,2.72,-0.0729,0.7468,2.261878867217837,3.0287225037318843,92
0.35,0.05,0.1,9,0.03,-0.00073593439204803,0.10165062411309735,0.084863,-0.1149,-0.1377,2.72,-0.0729,0.7468,2.261878867217837,3.0287225037318843,93
0.35,0.05,0.1,9,0.04,-0.00073593439204803,0.10165062411309735,0.084863,-0.1149,-0.1377,2.72,-0.0729,0.7468,2.261878867217837,3.0287225037318843,94
0.35,0.05,0.1,9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95
0.35,0.05,0.1,9,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
0.35,0.05,0.1,9,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97
0.35,0.05,0.1,9,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98
0.35,0.05,0.1,9,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
0.35,0.05,0.1,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
0.35,0.05,0.1,9,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
0.35,0.05,0.1,9,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102
0.35,0.05,0.1,9,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103
0.35,0.05,0.1,9,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
0.35,0.05,0.1,9,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
0.35,0.05,0.1,10,0.01,-0.002981875126374765,0.12192219461973854,0.108301,-0.3882,-0.4371,3.14,-0.2448,0.4339,2.381380667633154,5.488494549315659,106
0.35,0.05,0.1,10,0.02,-0.002981875126374765,0.12192219461973854,0.108301,-0.3882,-0.4371,3.14,-0.2448,0.4339,2.381380667633154,5.488494549315659,107
0.35,0.05,0.1,10,0.03,-0.002981875126374765,0.12192219461973854,0.108301,-0.3882,-0.4371,3.14,-0.2448,0.4339,2.381380667633154,5.488494549315659,108
0.35,0.05,0.1,10,0.04,-0.00073593439204803,0.10165062411309735,0.084863,-0.1149,-0.1377,2.72,-0.0729,0.7468,2.261878867217837,3.0287225037318843,109
0.35,0.05,0.1,10,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
0.35,0.05,0.1,10,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111
