Date,Daily_Return_%,Cumulative_Return_%
2022-02-23,1.5861948729623043,40.81885487689863
2022-02-24,-4.353280903295453,34.688614559303254
2022-02-25,1.5384645679530131,36.760751171364944
2022-03-01,-0.7696679112213609,35.70814755445366
2022-03-02,-0.0649589455066879,35.619992972835625
2022-03-03,0.6547402491714871,36.50795165275233
2022-03-04,2.1469612894981447,39.43872453182375
2022-03-08,1.506199499717076,41.53894990313398
2022-03-09,0.2533859720319165,41.89758974714979
2022-03-10,0.3502785225459326,42.3946265280444
2022-03-11,-0.08888339351806313,42.268061351798906
2022-03-15,-0.6915909330451828,41.28414833887071
2022-03-16,-0.4381660001538575,40.66508923724284
2022-03-17,-0.4199008629201047,40.074435313708314
2022-03-18,0.7364257973758691,41.105979590887046
2022-03-22,0.0,41.105979590887046
2022-03-23,0.0,41.105979590887046
2022-03-24,0.0,41.105979590887046
2022-03-25,0.0,41.105979590887046
2022-03-29,0.0,41.105979590887046
2022-03-30,0.0,41.105979590887046
2022-03-31,0.0,41.105979590887046
2022-04-01,0.0,41.105979590887046
2022-04-05,0.0,41.105979590887046
2022-04-06,0.0,41.105979590887046
2022-04-07,0.0,41.105979590887046
2022-04-08,0.0,41.105979590887046
2022-04-12,0.0,41.105979590887046
2022-04-13,0.0,41.105979590887046
2022-04-14,0.0,41.105979590887046
2022-04-15,0.0,41.105979590887046
2022-04-19,0.0,41.105979590887046
2022-04-20,0.0,41.105979590887046
2022-04-21,0.0,41.105979590887046
2022-04-22,0.0,41.105979590887046
2022-04-26,0.0,41.105979590887046
2022-04-27,0.0,41.105979590887046
2022-04-28,0.0,41.105979590887046
2022-04-29,0.0,41.105979590887046
2022-05-03,0.0,41.105979590887046
2022-05-04,0.0,41.105979590887046
2022-05-05,0.0,41.105979590887046
2022-05-06,0.0,41.105979590887046
2022-05-10,-1.6566649045615445,38.76832634876703
2022-05-11,-1.7443615846041038,36.34770497234108
2022-05-12,4.909404185916011,43.04156490765361
2022-05-13,-4.933969402380923,35.98393786242313
2022-05-17,0.28472080055679544,36.37111241893367
2022-05-18,-1.110337685069647,34.85693256619755
2022-05-19,-0.4337603293474518,34.27197669135054
2022-05-20,-0.9432602352101483,33.00544252819038
2022-05-24,-0.4164147393522664,32.451588261362275
2022-05-25,-1.4849476051026156,30.484751573554792
2022-05-26,0.66523310446438,31.352779337300184
2022-05-27,-2.059046376951285,28.648164693330692
2022-05-31,-0.8587271585365706,27.54342796415021
2022-06-01,-0.5379677837802781,26.857285411374086
2022-06-02,0.061696571878670316,26.935552007651232
2022-06-03,-0.976921029031935,25.69549190677072
2022-06-07,0.0,25.69549190677072
2022-06-08,0.0,25.69549190677072
2022-06-09,0.0,25.69549190677072
2022-06-10,0.0,25.69549190677072
2022-06-14,2.9285001656387366,29.376484595460916
2022-06-15,2.4514747513852297,32.548116449548445
2022-06-16,-0.75533258060278,31.54693734102969
2022-06-17,1.6725726721919076,33.747155466101184
2022-06-21,-3.7803644640583114,28.691025529171867
2022-06-22,0.44509153971154236,29.26381839617025
2022-06-23,1.4309688826068478,31.113543413888877
2022-06-24,-1.1222208619111493,29.642159876907282
2022-06-28,-1.3843327352326766,27.847481019068574
2022-06-29,1.4788035309285574,29.738094082581767
2022-06-30,-0.30537990637915513,29.34190001233428
2022-07-01,0.19753092078162465,29.597390258385104
2022-07-05,-0.7560359615287446,28.617587382828958
2022-07-06,1.5438879205712408,30.60329877816259
2022-07-07,-0.7098468668544355,29.67621535377727
2022-07-08,-0.44091082108253504,29.104458887912177
2022-07-12,0.0,29.104458887912177
2022-07-13,0.0,29.104458887912177
2022-07-14,0.0,29.104458887912177
2022-07-15,0.0,29.104458887912177
2022-07-19,2.632552800814352,32.50320193634213
2022-07-20,-0.9039613125897452,31.30542425289493
2022-07-21,-1.2484096846143242,29.66619462009785
2022-07-22,0.270257658088418,30.016627441010503
2022-07-26,0.0,30.016627441010503
2022-07-27,0.0,30.016627441010503
