pair_hxy_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.35,8,0.07,-0.15137553351670233,1.2436213882283025,1.079044,-1.9323,-2.227,81.23,-0.4073,0.5905,227.48878490242691,385.2220908268308,82
0.35,8,0.08,-0.1309278589396098,1.189511912859974,1.005708,-1.7473,-2.0666,76.75,-0.3832,0.6251,227.4566018061682,363.88343082124163,83
0.35,8,0.09,-0.12183706761727221,1.2581307713955296,1.047645,-1.5373,-1.8461,75.49,-0.37,0.6568,242.9803416018224,369.93456605901997,84
0.35,8,0.1,-0.09916189512173453,1.2098422814448653,1.001051,-1.3011,-1.5725,69.98,-0.3368,0.687,226.8104387609485,330.1371334777959,85
0.35,8,0.11,-0.11734687375183983,1.344622402839773,1.155887,-1.3854,-1.6116,76.51,-0.3574,0.6416,218.88007586919986,341.155518318617,86
0.35,8,0.12,-0.1162936734978534,1.3353553300274918,1.157486,-1.3825,-1.5949,76.86,-0.353,0.619,196.91347416955333,318.0914819543165,87
0.35,8,0.13,-0.11843396789973284,1.394561403793002,1.165638,-1.3482,-1.6129,78.5,-0.3524,0.6027,187.17407466032085,310.5822692118424,88
0.35,8,0.14,-0.11457940748068546,1.3717491933446588,1.144699,-1.326,-1.589,77.23,-0.3482,0.5964,176.4069615944694,295.79870418934365,89
0.35,8,0.15,-0.1064733044818974,1.361543878060924,1.127369,-1.2414,-1.4993,75.06,-0.3378,0.6144,176.74562771645066,287.69081098658773,90
0.35,9,0.01,-0.12860220293634522,1.3508614951089022,1.10638,-1.5113,-1.8452,76.89,-0.3825,0.6729,275.7061805327677,409.70967599243943,91
0.35,9,0.02,-0.13685053849769901,1.3845220458585303,1.136377,-1.5691,-1.9117,79.07,-0.3914,0.6643,282.1346628012004,424.73292391580276,92
0.35,9,0.03,-0.12188617890634092,1.1376355741963744,0.899145,-1.7008,-2.1519,74.64,-0.3705,0.6733,261.68891217778327,388.6943105981905,93
0.35,9,0.04,-0.12610227013674055,1.1827446905304069,0.955653,-1.6925,-2.0947,75.88,-0.3759,0.6669,263.0246205953338,394.42318607781743,94
0.35,9,0.05,-0.1265029216519706,1.1777581911321642,0.952982,-1.7051,-2.1073,75.72,-0.3775,0.6598,255.6206349760328,387.4366793373861,95
0.35,9,0.06,-0.14735159204970344,1.2460172836222683,1.064334,-1.8773,-2.1977,81.06,-0.3997,0.6185,248.91366684299607,402.454025758787,96
0.35,9,0.07,-0.11361767963620772,1.185825831505141,0.983018,-1.521,-1.8348,73.23,-0.3585,0.6798,251.32405965155087,369.7136818324793,97
0.35,9,0.08,-0.11797038069562066,1.2350597730729456,1.031335,-1.5163,-1.8158,73.7,-0.3687,0.6701,249.678425883429,372.6035625682658,98
0.35,9,0.09,-0.13025684569054932,1.299638781529574,1.106635,-1.591,-1.8685,77.78,-0.3799,0.6434,244.91364313110893,380.64127634066136,99
0.35,9,0.1,-0.12358498584403663,1.2795092281321978,1.070865,-1.5333,-1.832,77.89,-0.3633,0.6522,241.50944956818824,370.2850048176744,100
0.35,9,0.11,-0.11626800406876504,1.2641146316224905,1.058376,-1.4601,-1.7439,76.11,-0.3538,0.6575,232.58136771114008,353.73262795079324,101
0.35,9,0.12,-0.09818876453198125,1.3746224672036318,1.155077,-1.1339,-1.3494,72.82,-0.3272,0.6905,228.29449120880633,330.6071838511308,102
0.35,9,0.13,-0.09724134249282482,1.3795862355366189,1.159318,-1.1189,-1.3315,73.55,-0.3216,0.6843,219.66908880784092,320.9945676853644,103
0.35,9,0.14,-0.08207955627422654,1.390224834989369,1.120849,-0.9372,-1.1625,69.49,-0.2978,0.7127,212.1767270977864,297.7036247355304,104
0.35,9,0.15,-0.09980186270780228,1.396701755651855,1.166659,-1.1343,-1.358,73.64,-0.3285,0.6492,192.41772418338243,296.4112651249124,105
0.35,10,0.01,-0.12771580885781694,1.385454485089667,1.136335,-1.4634,-1.7842,77.37,-0.3792,0.6844,288.5274813269321,421.60735415677726,106
0.35,10,0.02,-0.12562997165745815,1.4292215921369185,1.170113,-1.3954,-1.7044,76.97,-0.3778,0.6997,305.0230228947494,435.9294533618208,107
0.35,10,0.03,-0.11292975798926191,1.3843603633586565,1.122958,-1.295,-1.5964,73.23,-0.3639,0.7182,299.95917075206995,417.63197857688095,108
0.35,10,0.04,-0.1122651950325108,1.3932604005278646,1.139065,-1.2791,-1.5646,73.14,-0.363,0.7141,292.14465173867467,409.1249849625509,109
0.35,10,0.05,-0.10511680225774225,1.3775040159591734,1.115755,-1.2114,-1.4956,71.32,-0.3529,0.7249,288.5539264676618,398.08563442022927,110
0.35,10,0.06,-0.11122930159283867,1.130012039071791,0.905535,-1.5626,-1.9499,71.3,-0.3601,0.6928,261.3362837483984,377.2372160081363,111
0.35,10,0.07,-0.13788572574457722,1.1763023729582132,1.009263,-1.8608,-2.1688,78.33,-0.3909,0.6274,241.9418016541294,385.6187278799789,112
0.35,10,0.08,-0.13405453076478974,1.1996065681157364,1.033338,-1.774,-2.0594,78.17,-0.3837,0.6262,234.04634806567563,373.7311691225866,113
0.35,10,0.09,-0.13030114698951978,1.2114816830585569,1.049762,-1.7074,-1.9704,77.78,-0.3775,0.6274,228.62670910275318,364.40050426583286,114
0.35,10,0.1,-0.11790674428253668,1.254570214185268,1.077364,-1.4919,-1.7373,74.92,-0.3632,0.6624,241.02736180883713,363.8861893512403,115
0.35,10,0.11,-0.09925188526643614,1.2809227029408508,1.089753,-1.23,-1.4458,69.4,-0.3426,0.7019,243.55552665732532,346.97599110495185,116
0.35,10,0.12,-0.10588200072320907,1.3332957909075416,1.139749,-1.2607,-1.4747,72.84,-0.3457,0.6929,248.89973290862332,359.22877766220716,117
0.35,10,0.13,-0.06961092909561763,1.2867631947786045,1.071451,-0.8588,-1.0313,62.13,-0.2878,0.7668,238.4669022644017,311.0014903820353,118
0.35,10,0.14,-0.07542858898628943,1.3095082653403152,1.089596,-0.9144,-1.0989,63.92,-0.2994,0.7435,227.80039283670766,306.3969825604213,119
0.35,10,0.15,-0.060718769309862364,1.2930413976401263,1.063128,-0.7454,-0.9066,57.58,-0.2784,0.7853,231.4562948672014,294.72525248807796,120
0.4,3,0.01,-0.07699475630870384,1.3404591455971302,1.036396,-0.9118,-1.1793,64.65,-0.3026,0.8048,330.7443358007986,410.972871874468,121
0.4,3,0.02,-0.09178599050853396,1.4827943020698726,1.133428,-0.9826,-1.2855,73.99,-0.3094,0.7904,360.605791774366,456.2467938842584,122
0.4,3,0.03,-0.07909367840966307,1.341195462282921,0.925407,-0.9362,-1.3568,68.73,-0.2895,0.8149,362.8120349332522,445.22764783612115,123
0.4,3,0.04,-0.10250450729880967,1.3808846478023786,1.001022,-1.1784,-1.6255,73.21,-0.3361,0.769,355.5290879713324,462.3387845766921,124
0.4,3,0.05,-0.12444269607434094,1.4136883795289947,1.069868,-1.3974,-1.8465,79.19,-0.3631,0.7202,333.7957402806609,463.4650295901242,125
0.4,3,0.06,-0.09695372143115502,1.467052487676096,1.121507,-1.0491,-1.3723,74.33,-0.3202,0.7646,328.06977350264094,429.0955512339044,126
0.4,3,0.07,-0.09047977806483035,1.5029759861644092,1.171071,-0.9557,-1.2265,72.41,-0.3131,0.7541,289.08900618971296,383.36893493326613,127
