"Date","Price","Open","High","Low","Vol.","Change %"
"05/07/2024","8.9400","9.2070","9.3880","8.9370","2.17M","-2.88%"
"05/06/2024","9.2050","9.3290","9.5070","9.1860","2.56M","-1.36%"
"05/05/2024","9.3320","8.6940","9.4050","8.6190","2.01M","7.36%"
"05/04/2024","8.6920","8.7670","8.8330","8.6640","1.08M","-0.80%"
"05/03/2024","8.7620","8.6590","8.9130","8.5410","1.59M","1.32%"
"05/02/2024","8.6480","8.7420","9.0590","8.5870","3.35M","-1.09%"
"05/01/2024","8.7430","8.4470","8.8020","8.0770","7.38M","3.46%"
"04/30/2024","8.4510","8.1510","8.5780","7.6540","3.83M","3.68%"
"04/29/2024","8.1510","8.2060","8.2530","7.9310","1.60M","-0.60%"
"04/28/2024","8.2000","8.4000","8.5190","8.1650","967.76K","-2.35%"
"04/27/2024","8.3970","8.3030","8.4740","8.0660","1.58M","1.18%"
"04/26/2024","8.2990","8.3240","8.3980","8.1370","1.51M","-0.26%"
"04/25/2024","8.3210","8.4050","8.4980","8.2160","1.80M","-1.00%"
"04/24/2024","8.4050","8.7020","8.8780","8.3230","2.81M","-3.37%"
"04/23/2024","8.6980","8.9160","9.1990","8.6690","4.51M","-2.46%"
"04/22/2024","8.9170","8.7400","9.0110","8.6740","2.85M","1.85%"
"04/21/2024","8.7550","8.6700","8.8160","8.4950","1.57M","0.90%"
"04/20/2024","8.6770","8.1500","8.6950","8.1000","1.42M","6.54%"
"04/19/2024","8.1440","8.1860","8.3730","7.6340","3.30M","-0.67%"
"04/18/2024","8.1990","8.0400","8.3190","7.8860","2.40M","1.91%"
"04/17/2024","8.0450","8.1610","8.2790","7.7860","2.52M","-1.48%"
"04/16/2024","8.1660","8.1240","8.2450","7.7830","3.63M","0.37%"
"04/15/2024","8.1360","8.2830","8.7350","7.8710","5.61M","-2.43%"
"04/14/2024","8.3390","8.0660","8.5270","7.7830","6.35M","3.54%"
"04/13/2024","8.0540","9.3690","9.3690","7.2590","11.53M","-14.09%"
"04/12/2024","9.3750","10.7470","10.8980","8.9290","6.16M","-12.86%"
"04/11/2024","10.7580","10.7970","10.9450","10.5900","1.83M","-0.52%"
"04/10/2024","10.8140","10.8270","10.8880","10.4030","2.95M","-0.21%"
