pval_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.01,5,0.11,-0.03259859487074093,1.6420842397954067,1.196281,-0.3151,-0.4326,52.85,-0.2076,0.9142,361.79837220530544,395.7661080606175,41
0.01,5,0.12,-0.0236101628885297,1.6787410989491456,1.206703,-0.2233,-0.3106,46.75,-0.194,0.9349,353.3546550390439,377.95644476889186,42
0.01,5,0.13,-0.04612620900392163,1.661949521652387,1.238978,-0.4406,-0.591,49.32,-0.2847,0.8683,316.93806219280924,365.0015719748955,43
0.01,5,0.14,-0.011285498478128911,1.620017198457313,1.152981,-0.1106,-0.1554,37.54,-0.1588,0.964,314.52292354712165,326.282412961332,44
0.01,5,0.15,-0.029155024830152053,1.5898947598122646,1.168827,-0.2911,-0.396,44.86,-0.2231,0.9022,280.28830981052,310.6678456835385,45
0.01,6,0.01,-0.07224783014789649,1.2105528347862282,0.850759,-0.9474,-1.3481,69.98,-0.2596,0.8225,348.7364636566197,424.018702670728,46
0.01,6,0.02,-0.059416122680167376,1.2623946111379192,0.885019,-0.7472,-1.0657,66.92,-0.2333,0.8574,372.387637713362,434.29923754609644,47
0.01,6,0.03,-0.036006794855209585,1.5016676894709,0.964608,-0.3806,-0.5926,63.17,-0.177,0.9193,427.3459768531242,464.8650570922526,48
0.01,6,0.04,-0.02894424122184478,1.5545982688623303,1.023354,-0.2956,-0.449,65.42,-0.1495,0.9345,430.0524382395075,460.21233759266977,49
0.01,6,0.05,-0.0166504278069125,1.660908236941221,1.129636,-0.1591,-0.234,57.51,-0.128,0.9632,453.55003535044443,470.89978112524733,50
0.01,6,0.06,-0.029647123515918267,1.7237136544212484,1.189984,-0.273,-0.3955,61.42,-0.1725,0.9367,457.19650708376787,488.0888097873547,51
0.01,6,0.07,-0.026075740665000905,1.764559449518395,1.238495,-0.2346,-0.3342,60.17,-0.1656,0.9452,468.75754267569397,495.92846444862494,52
0.01,6,0.08,-0.03936395309200873,1.7309782855273372,1.197214,-0.361,-0.5219,65.63,-0.1946,0.9165,450.22396962041853,491.2412087422916,53
0.01,6,0.09,-0.03654957018156348,1.7228585444162514,1.184832,-0.3368,-0.4897,64.34,-0.1884,0.917,420.9681715545127,459.05282368370183,54
0.01,6,0.1,-0.03085609183381748,1.7592489584088946,1.195848,-0.2784,-0.4096,63.82,-0.1721,0.9281,414.9327594500505,447.08480714088824,55
0.01,6,0.11,0.01839592514269295,2.298670817711716,1.26322,0.127,0.2312,60.62,-0.0243,1.0438,456.35972813836617,437.1911741396802,56
0.01,6,0.12,0.03704297612875077,2.292536632053341,1.250439,0.2565,0.4703,58.02,0.0569,1.0934,451.7914208025055,413.1926396763472,57
0.01,6,0.13,0.015135884386150645,2.225270061776809,1.230968,0.108,0.1952,58.9,-0.032,1.0415,395.8330416761313,380.06145014576236,58
0.01,6,0.14,0.03959038309558795,2.149430298906373,1.119484,0.2924,0.5614,56.06,0.0858,1.1197,385.82178325685004,344.56860407124736,59
0.01,6,0.15,-0.0232209229131339,1.491384388780114,1.080611,-0.2472,-0.3411,51.03,-0.1623,0.9246,296.77088807552985,320.96708975101535,60
0.01,7,0.01,-0.10152500550998664,1.4482362209169763,1.080437,-1.1128,-1.4917,75.59,-0.3257,0.78,375.0076159845667,480.7966717259728,61
0.01,7,0.02,-0.09001013708128378,1.4695589345446987,1.096271,-0.9723,-1.3034,72.05,-0.3118,0.8062,390.1615648957234,483.9521277344211,62
0.01,7,0.03,-0.08626898601970967,1.4060002609192264,1.054268,-0.974,-1.299,72.53,-0.2971,0.807,375.98093148837427,465.8732149209118,63
0.01,7,0.04,-0.07024790569953236,1.4326425448165834,1.008473,-0.7784,-1.1058,71.18,-0.2579,0.8432,393.48200933640163,466.68032707531444,64
0.01,7,0.05,-0.09774474216592687,1.442210871501082,1.100407,-1.0759,-1.4101,70.77,-0.3374,0.7918,387.43787275088386,489.28789408777965,65
