rho_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.4,8,0.06,-39.82707917467852,16.80881495080557,14.240532,-2.3694,-2.7967,83.99,-0.4028,0.6203,269.0198872249563,433.7016987329524,81
0.4,8,0.07,-41.58684891411704,17.973784211813914,15.335236,-2.3138,-2.7118,85.3,-0.4118,0.6295,292.1044277477599,464.0627474640692,82
0.4,8,0.08,-43.292314105710176,19.734503009448215,16.821276,-2.1937,-2.5737,86.53,-0.4212,0.645,325.22276399275415,504.2330469219208,83
0.4,8,0.09,-40.90897950270323,21.096754143120354,17.866667,-1.9391,-2.2897,85.63,-0.4099,0.6784,356.7467702071944,525.9021537064673,84
0.4,8,0.1,-45.402049717967486,23.425189663164186,20.001505,-1.9382,-2.2699,88.24,-0.434,0.6704,381.8169881327266,569.5508603792429,85
0.4,8,0.11,-45.026077691369565,24.925447730760368,21.30362,-1.8064,-2.1135,88.26,-0.434,0.6857,406.25618382314633,592.4354415787301,86
0.4,8,0.12,-50.117500945187764,25.485317375491938,22.112137,-1.9665,-2.2665,90.24,-0.4595,0.6636,408.8535320143546,616.0854208432659,87
0.4,8,0.13,-49.540415859440486,27.164265311869894,23.408236,-1.8237,-2.1164,90.27,-0.4587,0.6787,432.78619780861607,637.631885608366,88
0.4,8,0.14,-42.492113751233745,27.819591065714995,23.694833,-1.5274,-1.7933,87.05,-0.4277,0.7184,448.24548101840895,623.9469989897801,89
0.4,8,0.15,-46.07141367495795,29.411350307271476,25.2649,-1.5665,-1.8235,89.25,-0.4455,0.708,462.0027276867202,652.5043667712686,90
0.4,9,0.01,-31.87356409541149,10.698641042470793,8.779912,-2.9792,-3.6303,76.86,-0.3607,0.5622,169.21631758840223,301.01097547498466,91
0.4,9,0.02,-34.3669564931715,11.519021282249753,9.561925,-2.9835,-3.5941,79.2,-0.3734,0.5616,182.04539938842478,324.1500369514593,92
0.4,9,0.03,-36.161349470203476,12.594998117135644,10.58223,-2.8711,-3.4172,80.82,-0.3825,0.5734,200.95992872675313,350.48423883767384,93
0.4,9,0.04,-38.09635688020603,14.218458856187736,12.133072,-2.6794,-3.1399,82.6,-0.3922,0.5836,220.75135902463776,378.2767712039024,94
0.4,9,0.05,-39.29908203053776,15.4329308414344,13.21541,-2.5464,-2.9737,83.6,-0.3987,0.5959,239.59434464974382,402.0929298712531,95
0.4,9,0.06,-42.83175026430786,17.036032210412344,14.747851,-2.5142,-2.9043,86.02,-0.4165,0.5935,258.62786405129964,435.73375204895353,96
0.4,9,0.07,-44.34721381011042,18.110451515530745,15.758879,-2.4487,-2.8141,86.87,-0.4249,0.606,282.0943643222323,465.4665738068952,97
0.4,9,0.08,-45.87317540831587,19.201097280097006,16.729337,-2.3891,-2.7421,87.78,-0.4329,0.614,301.7322307830192,491.41417036819837,98
0.4,9,0.09,-49.01108948716141,20.605583466400034,17.871265,-2.3785,-2.7425,89.45,-0.4482,0.6165,325.7818521804939,528.4388174408994,99
0.4,9,0.1,-48.14119369803371,21.696147048217405,18.562408,-2.2189,-2.5935,89.32,-0.4446,0.6418,356.7176328037674,555.7776480154782,100
0.4,9,0.11,-50.111467552329046,23.089574829032077,19.833452,-2.1703,-2.5266,90.19,-0.4555,0.648,381.4612802835308,588.6682215118121,101
0.4,9,0.12,-52.029495194659646,24.329084590205042,20.953711,-2.1386,-2.4831,91.09,-0.4653,0.6496,398.7802269112007,613.918060216103,102
0.4,9,0.13,-55.520869470520594,25.951283194346747,22.411883,-2.1394,-2.4773,92.41,-0.4827,0.645,417.16091172287486,646.7353005652657,103
0.4,9,0.14,-56.394387037696404,28.13712696872183,24.196875,-2.0043,-2.3306,92.88,-0.4891,0.6566,445.9322783870583,679.11859304293,104
0.4,9,0.15,-54.17134026364021,29.661607471640455,25.478992,-1.8263,-2.1261,92.42,-0.4811,0.6758,466.86342685935296,690.8576195367859,105
0.4,10,0.01,-33.80207946408799,10.930914588082555,9.019264,-3.0923,-3.7478,78.43,-0.3714,0.5467,168.55849322215843,308.3274091014429,106
0.4,10,0.02,-34.64843184822426,11.720019935697078,9.680271,-2.9563,-3.5793,79.33,-0.3755,0.5625,184.17941006490975,327.44792588177353,107
0.4,10,0.03,-35.84415175064753,12.39751468589987,10.24561,-2.8912,-3.4985,80.43,-0.3814,0.5711,197.35700371669958,345.5697264316786,108
0.4,10,0.04,-35.95895340807916,13.310072601982817,10.979051,-2.7016,-3.2752,80.67,-0.3823,0.5938,217.32892260710094,366.0163410643172,109
0.4,10,0.05,-33.96926728360951,14.35163554507338,11.645791,-2.3669,-2.9169,79.26,-0.3728,0.6333,242.56924651952482,383.0294707636562,110
0.4,10,0.06,-35.895641435295026,15.58179136508684,12.763158,-2.3037,-2.8124,81.03,-0.3829,0.6373,260.7878284682992,409.21345694281274,111
0.4,10,0.07,-40.180190124205936,16.84544267016935,13.950414,-2.3852,-2.8802,84.37,-0.4037,0.6276,279.9729997200508,446.1148969796642,112
0.4,10,0.08,-42.06657791606742,18.022132814634308,14.959825,-2.3342,-2.812,85.77,-0.4131,0.6358,303.70761457656147,477.64957564220526,113
0.4,10,0.09,-42.28982498213177,19.26651613377653,15.964906,-2.195,-2.6489,86.12,-0.4149,0.6521,327.7547880152413,502.61985798103996,114
0.4,10,0.1,-41.97657169300394,20.417504944593436,16.938618,-2.0559,-2.4782,86.06,-0.4146,0.6672,348.0168257584144,521.5866182350418,115
0.4,10,0.11,-43.062121392915955,22.197300059981696,18.56815,-1.94,-2.3191,87.0,-0.421,0.6774,373.82671815953773,551.8851724905633,116
